,coef,se,t,p,sig
const,-0.5097,0.2784,-1.8311,0.0671,*
real_gas_yoy,-0.2622,0.1667,-1.5729,0.1157,
cum_inflation,0.0023,0.0011,2.2155,0.0267,**
gas_x_cuminflation,0.0026,0.0014,1.8391,0.0659,*
real_dpi_yoy,0.2998,0.0458,6.5471,0.0,***
unemployment,2.2786,1.06,2.1496,0.0316,**
sentiment,0.0016,0.0015,1.0973,0.2725,
rest_less_grocery_yoy,-0.1818,0.7426,-0.2449,0.8066,
