,coef,se,t,p,sig
const,-0.0344,0.0281,-1.2237,0.2211,
real_gas_yoy,-0.0109,0.014,-0.7817,0.4344,
real_dpi_yoy,-0.1203,0.1744,-0.69,0.4902,
unemployment,0.2876,0.293,0.9814,0.3264,
sentiment,0.0002,0.0003,0.6639,0.5067,
rest_less_grocery_yoy,-0.646,0.1621,-3.9851,0.0001,***
