date,gas_price,cpi,fafh_cpi,real_dpi,rest_less_grocery_yoy,unemployment,sentiment,real_rest_spend,qsr_traffic,casual_traffic,real_gas,cum_inflation,real_gas_yoy,real_rest_spend_yoy,real_dpi_yoy,gas_x_cuminflation,real_gas_yoy_lag1,real_gas_yoy_lag3,real_gas_yoy_lag6,rest_gro_spread_level
1993-01-01,1.062,142.8,142.0,7648.1,-0.0049858530324913275,0.073,89.3,9700.704225352112,,,1.9012818172268908,49.92797947561556,,,,,,,,99.43977591036413
1993-02-01,1.054,143.1,142.2,7684.5,-0.0026773325484590327,0.071,86.6,9330.520393811534,,,1.8830036536221761,49.99830057346853,,,,,,,,99.37106918238993
1993-03-01,1.052,143.3,142.4,7660.8,0.002507621098922108,0.07,85.9,10397.47191011236,,,1.8768075203535708,50.06862167132152,,,,,,,,99.37194696441033
1993-04-01,1.078,143.8,142.7,7700.6,-0.001229914533489973,0.071,85.6,10607.568325157676,,,1.9165054578117757,50.17410331810098,,,,,,,,99.23504867872043
1993-05-01,1.1,144.2,142.9,7689.4,-0.01604215014811028,0.071,80.3,11089.57312806158,,,1.9501930767452615,50.24442441595397,,,,,,,,99.0984743411928
1993-06-01,1.097,144.3,143.2,7675.1,-0.0071766729709590305,0.07,81.5,11013.966480446928,,,1.943526569069069,50.34990606273343,,,,,,,,99.23769923769922
1993-07-01,1.078,144.5,143.4,7694.3,-0.007250475920112409,0.069,77.0,11328.451882845187,,,1.9072213483275666,50.420227160586414,,,,,,,,99.23875432525952
1993-08-01,1.062,144.8,143.6,7705.4,-0.0026665427854688506,0.068,77.3,11470.055710306407,,,1.875021018646409,50.4905482584394,,,,,,,,99.17127071823202
1993-09-01,1.05,145.0,143.8,7684.4,0.0010474616989788466,0.067,77.9,10714.881780250347,,,1.851277327586207,50.56086935629238,,,,,,,,99.17241379310346
1993-10-01,1.092,145.6,144.0,7646.9,-0.004787447478749485,0.068,82.7,11062.5,,,1.9173943750000002,50.63119045414536,,,,,,,,98.9010989010989
1993-11-01,1.066,146.0,144.2,7668.1,-0.010693600827322403,0.066,81.2,10295.423023578363,,,1.8666140673515985,50.70151155199834,,,,,,,,98.76712328767123
1993-12-01,1.014,146.3,144.3,7929.4,-0.015790591189394743,0.065,88.2,10844.074844074843,,,1.7719187935748462,50.73667210092483,,,,,,,,98.63294600136705
1994-01-01,0.998,146.3,144.5,7780.4,-0.015703562431795604,0.066,94.3,9497.57785467128,,,1.7439595226703122,50.8069931987778,-0.08274538426188738,-0.020939342748949596,0.017298413985172623,-4.2040441754239675,,,,98.76965140123033
1994-02-01,1.009,146.7,144.6,7795.0,-0.00981788956472518,0.066,93.2,9746.196403872753,,,1.75837393717337,50.8421537477043,-0.06618665673275059,0.044550142169660356,0.014379595289218505,-3.3650721776530337,-0.08274538426188738,,,98.56850715746421
1994-03-01,1.008,147.1,144.8,7820.5,-0.009138847199123834,0.065,91.5,11066.298342541435,,,1.7518545479265808,50.91247484555728,-0.06657740395426925,0.0643258705780767,0.020846386800334127,-3.389620404104239,-0.06618665673275059,,,98.43643779741673
1994-04-01,1.027,147.2,145.1,7820.4,-0.0069225068438592,0.064,92.6,11035.14817367333,,,1.783663064424819,51.017956492336744,-0.06931490481568114,0.04030894125862705,0.015557229306807141,-3.536304798156883,-0.06657740395426925,-0.08274538426188738,,98.57336956521739
1994-05-01,1.047,147.5,145.3,7910.6,0.00042485474998055217,0.061,92.8,11381.280110116999,,,1.81470003220339,51.08827759018973,-0.06947673343605554,0.02630461774198234,0.028766873878325994,-3.549446643840822,-0.06931490481568114,-0.06618665673275059,,98.5084745762712
1994-06-01,1.078,147.9,145.5,7898.1,-0.010423873183957655,0.061,91.2,11392.439862542955,,,1.863377179400496,51.1585986880427,-0.04123915306543191,0.03436304103230481,0.02905499602611039,-2.1097372819091973,-0.06947673343605554,-0.06657740395426925,,98.37728194726166
1994-07-01,1.106,148.4,145.6,7905.0,-0.020474917377004687,0.061,89.0,11866.07142857143,,,1.9053352908805035,51.19375923696919,-0.0009889032800084463,0.047457459438069005,0.027383907567939847,-0.05062567642540153,-0.04123915306543191,-0.06931490481568114,-0.08274538426188738,98.11320754716981
1994-08-01,1.155,149.0,145.9,7914.4,-0.019621205653623353,0.06,91.7,11699.794379712132,,,1.9817364681208056,51.299240883748666,0.05691426838054081,0.020029429255456144,0.027123835232434335,2.919658763375683,-0.0009889032800084463,-0.06947673343605554,-0.06618665673275059,97.91946308724833
1994-09-01,1.144,149.3,146.2,7949.0,-0.017449555550719698,0.059000000000000004,91.5,11028.727770177838,,,1.9589186559499887,51.40472253052813,0.058144356201958125,0.029290662870958828,0.03443339753266361,2.98889449727785,0.05691426838054081,-0.04123915306543191,-0.06657740395426925,97.92364367046214
1994-10-01,1.114,149.4,146.4,8024.4,-0.010914662894861094,0.057999999999999996,92.7,11308.060109289618,,,1.9062716053101296,51.475043628381115,-0.0058009817045961976,0.022197524003581215,0.049366409917744436,-0.2986057863315299,0.058144356201958125,-0.0009889032800084463,-0.06931490481568114,97.99196787148594
1994-11-01,1.116,149.8,146.8,8023.9,-0.00806257568140123,0.055999999999999994,91.6,10652.58855585831,,,1.9045946795727637,51.61568582408707,0.0203473298982757,0.03469168109576204,0.04640002086566408,1.0502413873884522,-0.0058009817045961976,0.05691426838054081,-0.06947673343605554,97.9973297730307
1994-12-01,1.091,150.1,147.1,8060.2,-0.014280191122296504,0.055,95.1,11384.772263766146,,,1.8582076510104377,51.72116747086653,0.04869797518288288,0.04986109257506066,0.016495573435568955,2.5187161299259877,0.0203473298982757,0.058144356201958125,-0.04123915306543191,98.00133244503664
1995-01-01,1.082,150.5,147.4,8086.0,-0.010063942308857987,0.055999999999999994,97.6,10130.257801899594,,,1.8379806987818386,51.82664911764602,0.053912476115020924,0.06661487348767947,0.03927818621150592,2.7941029826766615,0.04869797518288288,-0.0058009817045961976,-0.0009889032800084463,97.94019933554817
1995-02-01,1.073,150.9,147.6,8102.0,-0.01720110922223217,0.054000000000000006,95.1,9890.921409214094,,,1.8178609802297327,51.896970215498996,0.03383071245470659,0.014849383220292278,0.03938422065426561,1.755711476631019,0.053912476115020924,0.0203473298982757,0.05691426838054081,97.8131212723658
1995-03-01,1.072,151.2,148.1,8124.2,-0.012396433139840068,0.054000000000000006,90.3,11229.57461174882,,,1.8125632892416228,52.072772960131445,0.03465398505081052,0.01475437080705766,0.03883383415382635,1.8045290957146454,0.03383071245470659,0.04869797518288288,0.058144356201958125,97.94973544973546
1995-04-01,1.111,151.8,148.3,8064.0,-0.02292164804557184,0.057999999999999996,92.5,11187.457855697909,,,1.8710805012077296,52.14309405798443,0.049010061668289584,0.013802232614143373,0.031149301825993625,2.555536255357241,0.03465398505081052,0.053912476115020924,-0.0058009817045961976,97.69433465085639
1995-05-01,1.178,152.1,148.6,8145.6,-0.018604895502591923,0.055999999999999994,89.8,11632.57065948856,,,1.980004886039886,52.24857570476389,0.0910921093861361,0.022079286946657728,0.029706975450661144,4.759432973368165,0.049010061668289584,0.03383071245470659,0.0203473298982757,97.69888231426694
1995-06-01,1.192,152.4,148.8,8169.8,-0.01427914132482111,0.055999999999999994,92.7,11593.413978494622,,,1.9995923840769902,52.31889680261688,0.07310125195389516,0.017641007402852127,0.0344006786442308,3.824576857117936,0.0910921093861361,0.03465398505081052,0.04869797518288288,97.63779527559055
1995-07-01,1.154,152.6,149.1,8187.8,-0.005007181615065637,0.057,94.4,11820.254862508384,,,1.9333098372651814,52.424378449396336,0.014682217097732098,-0.003861140255124962,0.035774826059456144,0.769706105607705,0.07310125195389516,0.049010061668289584,0.053912476115020924,97.70642201834863
