,coef,se,t,p,sig
const,-0.1279,0.0552,-2.3195,0.0204,**
real_gas_yoy,-0.0399,0.0192,-2.0733,0.0381,**
real_dpi_yoy,0.3042,0.1173,2.594,0.0095,***
unemployment,1.6714,0.9152,1.8263,0.0678,*
sentiment,0.0005,0.0004,1.1977,0.231,
rest_less_grocery_yoy,-0.2245,0.2159,-1.0397,0.2985,
