,coef,se,t,p,sig
const,-0.0605,0.0087,-6.9659,0.0,***
real_gas_yoy,-0.0008,0.0118,-0.0644,0.9486,
real_dpi_yoy,0.3558,0.0509,6.9835,0.0,***
unemployment,0.86,0.1789,4.8085,0.0,***
sentiment,-0.0001,0.0001,-0.8293,0.4069,
rest_less_grocery_yoy,-0.0787,0.1191,-0.6607,0.5088,
