,coef,se,t,p,sig
const,-0.1758,0.0388,-4.5293,0.0,***
real_gas_yoy,0.093,0.0856,1.0865,0.2773,
cum_inflation,0.0005,0.0002,2.6291,0.0086,***
gas_x_cuminflation,-0.0009,0.0008,-1.1362,0.2559,
real_dpi_yoy,0.3187,0.0437,7.294,0.0,***
unemployment,1.2805,0.2074,6.1734,0.0,***
sentiment,0.0005,0.0002,2.6605,0.0078,***
rest_less_grocery_yoy,-0.2388,0.0995,-2.3994,0.0164,**
