,coef,se,t,p,sig
const,-0.1917,0.0406,-4.7209,0.0,***
real_gas_yoy_lag3,0.0088,0.013,0.6804,0.4963,
cum_inflation,0.0006,0.0002,3.4313,0.0006,***
gas_x_cuminflation,-0.0001,0.0001,-0.4923,0.6225,
real_dpi_yoy,0.3333,0.0458,7.2701,0.0,***
unemployment,1.3382,0.2336,5.7293,0.0,***
sentiment,0.0005,0.0002,2.3618,0.0182,**
rest_less_grocery_yoy,-0.1809,0.131,-1.3808,0.1673,
