,coef,se,t,p,sig
const,-0.0681,0.0613,-1.1118,0.2662,
real_gas_yoy,-0.2094,0.1207,-1.7349,0.0828,*
cum_inflation,0.0006,0.0003,2.2826,0.0225,**
gas_x_cuminflation,0.0033,0.0017,1.9784,0.0479,**
real_dpi_yoy,0.1804,0.1112,1.6213,0.105,
unemployment,-0.1049,0.2656,-0.3948,0.693,
sentiment,0.0006,0.0004,1.4302,0.1527,
