date,trips
2020-11-20,112406
2020-11-21,108473
2020-11-22,80731
2020-11-23,85911
2020-11-24,96392
2020-11-25,106692
2020-11-26,76759
2020-11-27,88784
2020-11-28,95980
2020-11-29,80904
2020-11-30,88292
2020-12-01,88160
2020-12-02,91206
2020-12-03,95942
2020-12-04,116182
2020-12-05,120932
2020-12-06,87362
2020-12-07,85767
2020-12-08,87612
2020-12-09,92188
2020-12-10,100166
2020-12-11,123530
2020-12-12,125289
2020-12-13,91937
2020-12-14,90384
2020-12-15,93316
2020-12-16,99442
2020-12-17,106322
2020-12-18,127432
2020-12-19,124756
2020-12-20,92754
2020-12-21,95079
2020-12-22,100838
2020-12-23,111011
2020-12-24,104878
2020-12-25,66704
2020-12-26,90708
2020-12-27,82260
2020-12-28,91093
2020-12-29,92323
2020-12-30,110614
2020-12-31,140572
2021-01-01,102021
2021-01-02,102744
2021-01-03,85870
2021-01-04,94966
2021-01-05,93112
2021-01-06,96377
2021-01-07,101640
2021-01-08,125448
2021-01-09,132586
2021-01-10,100558
2021-01-11,95926
2021-01-12,94469
2021-01-13,99018
2021-01-14,106712
2021-01-15,129287
2021-01-16,136484
2021-01-17,104419
2021-01-18,93082
2021-01-19,94160
2021-01-20,99163
2021-01-21,108860
2021-01-22,135811
2021-01-23,146851
2021-01-24,108249
2021-01-25,95751
2021-01-26,90700
2021-01-27,106887
2021-01-28,116997
2021-01-29,141470
2021-01-30,139889
2021-01-31,70600
2021-02-01,99655
2021-02-02,106415
2021-02-03,112337
2021-02-04,113777
2021-02-05,146131
2021-02-06,149429
2021-02-07,118901
2021-02-08,97414
2021-02-09,103637
2021-02-10,111758
2021-02-11,115625
2021-02-12,138106
2021-02-13,131204
2021-02-14,120456
2021-02-15,59543
2021-02-16,58680
2021-02-17,104494
2021-02-18,108120
2021-02-19,144341
2021-02-20,160650
2021-02-21,110388
2021-02-22,103380
2021-02-23,104281
2021-02-24,106846
2021-02-25,118575
2021-02-26,146973
2021-02-27,160636
2021-02-28,102841
2021-03-01,102397
2021-03-02,102002
2021-03-03,110290
2021-03-04,120469
2021-03-05,148941
2021-03-06,167698
2021-03-07,117977
2021-03-08,102862
2021-03-09,105420
2021-03-10,110038
2021-03-11,119384
2021-03-12,152327
2021-03-13,185588
2021-03-14,122859
2021-03-15,104859
2021-03-16,105739
2021-03-17,115537
2021-03-18,120665
2021-03-19,153875
2021-03-20,169933
2021-03-21,123472
2021-03-22,106153
2021-03-23,105681
2021-03-24,111532
2021-03-25,119667
2021-03-26,146560
2021-03-27,159134
2021-03-28,120397
2021-03-29,105784
2021-03-30,106501
2021-03-31,107847
2021-04-01,127338
2021-04-02,145634
2021-04-03,159217
2021-04-04,108634
2021-04-05,105125
2021-04-06,113243
2021-04-07,121338
2021-04-08,130455
2021-04-09,148898
2021-04-10,172127
2021-04-11,113180
2021-04-12,102604
2021-04-13,106052
2021-04-14,116638
2021-04-15,122903
2021-04-16,143255
2021-04-17,169571
2021-04-18,118542
2021-04-19,104523
2021-04-20,109460
2021-04-21,114907
2021-04-22,120466
2021-04-23,143346
2021-04-24,169666
2021-04-25,121777
2021-04-26,104339
2021-04-27,112583
2021-04-28,114407
2021-04-29,121984
2021-04-30,124089
2021-05-01,159403
2021-05-02,121135
2021-05-03,104394
2021-05-04,109390
2021-05-05,121756
2021-05-06,126822
2021-05-07,145436
2021-05-08,158206
2021-05-09,114484
2021-05-10,106002
2021-05-11,110532
2021-05-12,118564
2021-05-13,125687
2021-05-14,149790
2021-05-15,173077
2021-05-16,123865
2021-05-17,106614
2021-05-18,111744
2021-05-19,121003
2021-05-20,134601
2021-05-21,158066
2021-05-22,178013
2021-05-23,127193
2021-05-24,107031
2021-05-25,113614
2021-05-26,123643
2021-05-27,131769
2021-05-28,164216
2021-05-29,182387
2021-05-30,151184
2021-05-31,99410
2021-06-01,109696
2021-06-02,117623
2021-06-03,129250
2021-06-04,157132
2021-06-05,184880
2021-06-06,133837
2021-06-07,105898
2021-06-08,110966
2021-06-09,122237
2021-06-10,135090
2021-06-11,170510
2021-06-12,185383
2021-06-13,139282
2021-06-14,106625
2021-06-15,114416
2021-06-16,123409
2021-06-17,135643
2021-06-18,166457
2021-06-19,184465
2021-06-20,124444
2021-06-21,110261
2021-06-22,119069
2021-06-23,128404
2021-06-24,141026
2021-06-25,172740
2021-06-26,193811
2021-06-27,143496
2021-06-28,112020
2021-06-29,119143
2021-06-30,114251
2021-07-01,135839
2021-07-02,160976
2021-07-03,184341
2021-07-04,152032
2021-07-05,118095
2021-07-06,114379
2021-07-07,122463
2021-07-08,138062
2021-07-09,168834
2021-07-10,200014
2021-07-11,143616
2021-07-12,115625
2021-07-13,120489
2021-07-14,131268
2021-07-15,139480
2021-07-16,166817
2021-07-17,186940
2021-07-18,136003
2021-07-19,108597
2021-07-20,114298
2021-07-21,125841
2021-07-22,139944
2021-07-23,174137
2021-07-24,194880
2021-07-25,140316
2021-07-26,113181
2021-07-27,118872
2021-07-28,134260
2021-07-29,147919
2021-07-30,173744
2021-07-31,183385
2021-08-01,148239
2021-08-02,110308
2021-08-03,110742
2021-08-04,120099
2021-08-05,135811
2021-08-06,167669
2021-08-07,196998
2021-08-08,155551
2021-08-09,118583
2021-08-10,126638
2021-08-11,127539
