Market,Volume,date
Tennis,3099929,2025-06-16
Basketball,3061980,2025-08-25
Golf,3046452,2025-10-20
F1,2956603,2025-08-25
Golf,2795408,2025-06-16
Tennis,2794399,2025-05-12
Basketball,2794026,2025-09-08
Golf,2584256,2025-10-06
Golf,2524256,2025-04-14
Basketball,2517833,2025-03-10
Golf,2280598,2025-09-08
F1,2125998,2025-11-03
F1,2021851,2025-10-20
Football,2010061,2025-07-14
Golf,1984769,2025-05-19
F1,1982460,2025-09-01
Golf,1965582,2025-10-27
MLB,1958588,2025-11-10
other,1951227,2025-09-22
F1,1838010,2025-10-13
other,1784830,2025-03-10
Basketball,1696345,2025-03-03
Basketball,1669113,2025-02-10
F1,1630687,2025-09-15
F1,1627379,2025-09-29
Golf,1558535,2025-03-10
other,1544701,2025-02-10
Basketball,1517057,2025-02-24
Hockey,1476737,2025-04-14
other,1476325,2025-10-20
UFC,1428568,2025-11-17
Football,1395654,2025-10-06
Tennis,1383714,2025-03-24
American Football,1350963,2025-07-28
MLB,1349027,2025-04-14
Tennis,1348393,2025-04-28
UFC,1270341,2025-06-02
other,1248065,2025-06-23
Football,1224109,2025-05-05
American Football,1216187,2025-01-27
Football,1210948,2025-07-21
Golf,1203930,2025-05-05
Golf,1180845,2025-02-17
other,1179189,2025-10-13
Basketball,1149381,2025-02-17
Golf,1117838,2025-03-31
Golf,1105481,2025-03-03
American Football,1091735,2025-01-20
Football,1057926,2025-09-01
Golf,1024216,2025-02-24
Basketball,1009289,2025-02-03
Esports,992666,2025-10-13
American Football,990092,2025-07-21
UFC,988077,2025-10-06
Football,982808,2025-06-09
Hockey,979646,2025-02-17
other,974238,2025-10-06
UFC,956280,2025-07-21
UFC,938697,2025-10-13
other,794447,2025-09-15
UFC,783469,2025-07-07
Football,771329,2025-04-07
Football,754133,2025-08-04
American Football,751544,2025-07-07
Football,748459,2025-04-14
UFC,746093,2025-06-09
UFC,732954,2025-07-28
Esports,720704,2025-10-20
other,717718,2025-09-08
Golf,709039,2025-04-28
Tennis,681602,2025-05-05
Golf,675561,2025-03-17
Golf,650859,2025-03-24
UFC,642406,2025-09-01
other,622799,2025-09-29
UFC,608585,2025-03-03
UFC,605408,2025-05-05
UFC,605371,2025-11-03
other,585874,2025-06-02
American Football,568360,2025-07-14
UFC,553881,2025-09-08
Basketball,545160,2025-01-27
F1,541040,2025-11-10
UFC,529082,2025-08-18
UFC,520785,2025-10-27
UFC,520054,2025-09-22
Football,516553,2025-03-10
Football,515724,2025-05-19
Golf,500536,2025-09-15
Hockey,497888,2025-03-03
Tennis,477252,2025-05-19
F1,471164,2025-11-24
Golf,456829,2025-11-24
Basketball,443697,2025-01-20
Football,434105,2025-05-12
Eating,418225,2025-06-16
Football,416724,2025-02-17
Boxing,383197,2025-06-23
UFC,359000,2025-04-07
MLB,341125,2025-11-03
UFC,340388,2025-06-16
Football,337920,2025-03-03
other,330661,2025-09-01
Tennis,318138,2025-03-10
F1,318100,2025-06-30
other,310899,2025-06-16
other,308670,2025-07-28
F1,301244,2025-04-28
American Football,296613,2025-06-30
American Football,285646,2025-06-23
UFC,281240,2025-08-04
F1,277953,2025-10-27
Golf,263778,2025-09-01
Football,259964,2025-02-10
other,256431,2025-05-19
Football,255392,2025-04-28
other,254947,2025-07-14
UFC,252890,2025-05-12
Tennis,249509,2025-04-07
