,gas,qsr,fast_casual,casual_dining,disp_income
gas,1.0,0.2851288973781084,0.44328796759786937,0.4862839981892467,-0.3797846047289945
qsr,0.2851288973781084,1.0,0.9721561296357476,0.9486489180755289,0.330475128915439
fast_casual,0.44328796759786937,0.9721561296357476,1.0,0.9821755845434313,0.19799515858908387
casual_dining,0.4862839981892467,0.9486489180755289,0.9821755845434313,1.0,0.22104875141300467
disp_income,-0.3797846047289945,0.330475128915439,0.19799515858908387,0.22104875141300467,1.0
