,gas,qsr,fast_casual,casual_dining,disp_income
gas,1.0,0.27177999657574153,0.5164503329264498,0.5508302053345062,-0.43719094594635394
qsr,0.27177999657574153,1.0,0.9085951233200227,0.8782347471420375,-0.01906526703289689
fast_casual,0.5164503329264498,0.9085951233200227,1.0,0.9520954101052801,-0.20285845806814867
casual_dining,0.5508302053345062,0.8782347471420375,0.9520954101052801,1.0,-0.142861981466014
disp_income,-0.43719094594635394,-0.01906526703289689,-0.20285845806814867,-0.142861981466014,1.0
