,gas,qsr,fast_casual,casual_dining,disp_income
gas,1.0,0.3496927477112186,-0.44111823846378506,-0.3018731534978874,-0.3120738342141207
qsr,0.3496927477112186,1.0,0.2674637650514426,0.6594770164724427,0.2584025402227666
fast_casual,-0.44111823846378506,0.2674637650514426,1.0,0.4711885913059092,0.059478610374461324
casual_dining,-0.3018731534978874,0.6594770164724427,0.4711885913059092,1.0,0.4916201003540992
disp_income,-0.3120738342141207,0.2584025402227666,0.059478610374461324,0.4916201003540992,1.0
