Subsegment,Sales_2024,Sales_2023,Sales_2019,Units_2024,Units_2023,Units_2019,Chain_Count,Sales_YoY_Growth_%,Sales_5Y_CAGR_%,Units_YoY_Growth_%,Units_5Y_CAGR_%
QSR,269390157,269838150,207579544,164171,171071,169262,165,-0.16602285481129853,5.35118718443206,-4.0334130273395274,-0.6089233567118879
FC,68094526,66689200,45984264,34258,35535,30992,117,2.1072767404617165,8.168446448849153,-3.5936400731673035,2.0240313974545066
CDR,57281365,65773670,58837588,13447,16885,17266,165,-12.911405126093767,-0.5346764835826856,-20.361267397098015,-4.876738259183766
MSR,16071000,17500345,16944415,8305,9143,9537,31,-8.167524697370254,-1.0528557693900042,-9.16548178934704,-2.728509461965123
FD,3817000,4576908,3972660,473,625,634,22,-16.603086625293763,-0.7962355518903452,-24.319999999999997,-5.690731442583652
