Category,Chain Name,2024 U.S. Sales ($000),Market_Share_in_Category_%,2024 U.S. Units
Coffee Cafe,Dutch Bros Coffee,1819000,3.5997692981277085,982
Coffee Cafe,Tim Hortons,776000,1.5356904757268288,653
Coffee Cafe,Scooter's Coffee,723000,1.4308043994207438,849
Coffee Cafe,7 Brew Drive Thru Coffee,502000,0.9934492510500877,321
Coffee Cafe,Paris Baguette,462000,0.9142899481775707,197
Coffee Cafe,Caribou Coffee,386000,0.7638872727197886,487
Coffee Cafe,Biggby Coffee,320000,0.6332744229801356,420
Coffee Cafe,Peet's Coffee,303000,0.5996317192593159,255
Coffee Cafe,Coffee Bean & Tea Leaf,224000,0.4432920960860949,196
Coffee Cafe,Tous Les Jours,220000,0.4353761657988432,150
Coffee Cafe,Black Rock Coffee Bar,165000,0.3265321243491324,145
Coffee Cafe,"Human Bean, The",152000,0.3008053509155644,184
Coffee Cafe,Aroma Joe's,99716,0.19733622613089752,115
Coffee Cafe,Philz Coffee,79200,0.15673541968758356,70
Coffee Cafe,Blue Bottle Coffee,77902,0.15416670030937038,78
Coffee Cafe,PJ's Coffee of New Orleans,77450,0.15327220018691096,185
Coffee Cafe,Ziggi's Coffee,74000,0.14644471031415637,100
Coffee Cafe,Bluestone Lane,73859,0.14616567377153075,78
Coffee Cafe,Au Bon Pain,66889,0.13237216524599466,35
Family Style,IHOP,3348000,20.83255553481426,1694
Family Style,Cracker Barrel,2767000,17.217348018169375,657
Family Style,Denny's,2652000,16.501773380623483,1334
Family Style,Golden Corral,1631000,10.148715076846495,351
Family Style,Waffle House,1418000,8.823346400348454,2010
Family Style,First Watch,1184000,7.367307572646381,572
Family Style,Bob Evans,761000,4.735237384108021,430
Family Style,Perkins American Food Co.,519000,3.2294194511853647,260
Family Style,Black Bear Diner,445000,2.768962727894966,162
Family Style,Huddle House,210000,1.3067015120403211,268
Family Style,Sizzler,207000,1.2880343475826022,74
Family Style,"Snooze, an A.M. Eatery",201000,1.2507000186671644,71
Family Style,Another Broken Egg Cafe,200000,1.2444776305145915,101
Family Style,"Original Pancake House, The",198000,1.2320328542094456,147
Family Style,Village Inn,168000,1.0453612096322569,112
Family Style,Metro Diner,162000,1.0080268807168191,62
Family Style,Huckleberry's,0,0.0,0
Family Style,Eggs Up Grill,0,0.0,0
Family Style,"Toasted Yolk Cafe, The",0,0.0,0
Family Style,Ruby Slipper Cafe,0,0.0,0
Family Style,Silver Diner,0,0.0,0
Family Style,Broken Yolk Cafe,0,0.0,0
Family Style,Keke's Breakfast Cafe,0,0.0,0
Family Style,Elmer's Restaurants,0,0.0,0
Family Style,Eat'n Park,0,0.0,0
Family Style,Frisch's Big Boy,0,0.0,0
Family Style,Big Boy Restaurants,0,0.0,0
Family Style,Shari's Cafe and Pies,0,0.0,0
Family Style,Shoney's,0,0.0,0
Family Style,Friendly's,0,0.0,0
Family Style,Luby's,0,0.0,0
Frozen Desserts,Dairy Queen,4909000,69.76975554292211,4212
Frozen Desserts,Baskin-Robbins,705000,10.019897669130188,2245
Frozen Desserts,Cold Stone Creamery,574000,8.158044343376918,994
Frozen Desserts,Braum's Ice Cream & Dairy Stores,282000,4.007959067652075,315
Frozen Desserts,Andy's Frozen Custard,208000,2.956225127913587,169
Frozen Desserts,Rita's Ice,197000,2.799886299033542,575
Frozen Desserts,Carvel Ice Cream,161000,2.2882319499715744,336
Frozen Desserts,Jeremiah's Italian Ice,0,0.0,0
Frozen Desserts,Handel's Homemade Ice Cream,0,0.0,0
Frozen Desserts,Bruster's Real Ice Cream,0,0.0,0
Frozen Desserts,Jeni's Splendid Ice Creams,0,0.0,0
Frozen Desserts,Kilwins,0,0.0,0
Frozen Desserts,Bahama Buck's,0,0.0,0
Frozen Desserts,Marble Slab Creamery,0,0.0,0
Frozen Desserts,Haagen-Dazs,0,0.0,0
Frozen Desserts,Ben & Jerry's Scoop Shops,0,0.0,0
Frozen Desserts,Yogurtland,0,0.0,0
Frozen Desserts,Menchie's Frozen Yogurt,0,0.0,0
Frozen Desserts,SweetFrog,0,0.0,0
Italian/Pizza,Olive Garden,5152000,64.59082552014608,923
Italian/Pizza,Carrabba's Italian Grill,736000,9.227260788592298,210
Italian/Pizza,Maggiano's Little Italy,522000,6.544334417996167,53
Italian/Pizza,California Pizza Kitchen,406000,5.090037880663686,131
Italian/Pizza,Mellow Mushroom,381000,4.7766119027903065,161
Italian/Pizza,North Italia,300000,3.761111734480556,43
Italian/Pizza,LaRosa's Pizzeria,166000,2.081148493079241,60
Italian/Pizza,Buca di Beppo,158365,1.9854281994367107,44
Italian/Pizza,Old Chicago Pizza + Taproom,155000,1.943241062814954,59
Italian/Pizza,Johnny's New York Style Pizza,0,0.0,0
Italian/Pizza,Emmy Squared Pizza,0,0.0,0
Italian/Pizza,Lou Malnati's,0,0.0,0
Italian/Pizza,Dion's Pizza,0,0.0,0
Italian/Pizza,Grimaldi's Pizzeria,0,0.0,0
Italian/Pizza,Serafina,0,0.0,0
Italian/Pizza,"Old Spaghetti Factory, The",0,0.0,0
Italian/Pizza,Giordano's,0,0.0,0
Italian/Pizza,Il Fornaio,0,0.0,0
Italian/Pizza,Anthony's Coal Fired Pizza,0,0.0,0
Italian/Pizza,Uno Pizzeria & Grill,0,0.0,0
Italian/Pizza,Johnny Carino's,0,0.0,0
Italian/Pizza,Bravo! Italian Kitchen,0,0.0,0
Italian/Pizza,Brio Italian Grille,0,0.0,0
Italian/Pizza,Romano's Macaroni Grill,0,0.0,0
Mexican,Taco Bell,16197000,48.107995722941666,7604
Mexican,Chipotle Mexican Grill,11247000,33.405607698705005,3644
Mexican,Qdoba Mexican Eats,1202000,3.570155637400499,777
Mexican,Del Taco,957000,2.842461684685755,594
Mexican,Moe's Southwest Grill,721000,2.1414993465605323,596
Mexican,Torchy's Tacos,530000,1.5741950813829155,131
Mexican,Chuy's,488000,1.4494475466318166,104
Mexican,Taco John's,415000,1.2326244505168111,340
Mexican,Cafe Rio Mexican Grill,382000,1.1346085303552336,160
Mexican,On The Border,225000,0.6682903647380302,98
Mexican,Taco Cabana,213000,0.6326482119520019,146
Mexican,Costa Vida Fresh Mexican Grill,195000,0.5791849827729595,90
Mexican,Lupe Tortilla,194000,0.5762148033741238,31
Mexican,Fuzzy's Taco Shop,185000,0.5494831887846027,117
Mexican,Bartaco,176000,0.5227515741950813,33
Mexican,Condado Tacos,172000,0.5108708565997386,52
Mexican,Rubio's,169000,0.5019603184032315,83
Mexican,Bubbakoo's Burritos,0,0.0,0
Mexican,Barrio Tacos,0,0.0,0
Mexican,Velvet Taco,0,0.0,0
Mexican,Pancheros Mexican Grill,0,0.0,0
Mexican,Plaza Azteca,0,0.0,0
Mexican,Hot Head Burritos,0,0.0,0
Mexican,Taco Casa,0,0.0,0
Mexican,Rosa's Cafe Tortilla Factory,0,0.0,0
Mexican,Mi Cocina,0,0.0,0
Mexican,Gloria's Latin Cuisine,0,0.0,0
Mexican,Freebirds World Burrito,0,0.0,0
Mexican,Uncle Julio's,0,0.0,0
Mexican,Margaritas Mexican Restaurant,0,0.0,0
Mexican,Pappasito's Cantina,0,0.0,0
Mexican,TacoTime,0,0.0,0
Mexican,Salsarita's Fresh Mexican Grill,0,0.0,0
Mexican,El Torito,0,0.0,0
Mexican,Taco Bueno,0,0.0,0
Mexican,Tijuana Flats,0,0.0,0
Mexican,Abuelo's Mexican Restaurant,0,0.0,0
Mexican,Baja Fresh Mexican Grill,0,0.0,0
Other Beverage/Snack,Tropical Smoothie Cafe,1420000,17.295980511571255,1515
Other Beverage/Snack,Crumbl,1227000,14.945188794153472,1059
Other Beverage/Snack,Nothing Bundt Cakes,850000,10.353227771010962,660
Other Beverage/Snack,Auntie Anne's,786000,9.573690621193666,1221
